"Read Position","PE1.R1","PE2.R1","PE3.R1"
1,33.6795,35.1149,31.4805
2,29.5871,36.0282,31.7719
3,31.2168,36.3081,31.4724
4,34.3383,36.3587,31.7672
5,34.8577,36.4558,31.7179
6,35.68,36.599,34.9947
7,35.73,36.5892,34.8091
8,35.7783,36.6062,35.2608
9,36.0664,36.6213,35.3011
10,36.1471,36.5223,35.1226
11,36.1717,36.5944,35.6263
12,35.9624,36.5624,35.2312
13,36.2517,36.5965,35.191
14,36.0209,36.5859,35.2886
15,36.1457,36.5877,35.1646
16,36.5456,36.5834,35.609
17,36.3155,36.5912,35.2361
18,36.1616,36.5754,34.8167
19,36.1232,36.5861,35.2585
20,36.3966,36.58,35.2339
21,36.5042,36.5986,35.2641
22,36.4237,36.5857,35.2067
23,36.4427,36.5835,35.4081
24,36.3418,36.5943,35.162
25,36.2176,36.5996,35.298
26,36.3361,36.5801,35.3366
27,36.1597,36.5739,35.3131
28,36.4865,36.5815,35.2366
29,36.3356,36.589,35.119
30,36.4492,36.5753,35.22
31,36.5897,36.5792,34.5257
32,36.3673,36.5874,35.2553
33,36.2811,36.5937,34.4894
34,36.0911,36.5847,35.3714
35,36.0591,36.5803,35.4606
36,36.4992,36.5838,35.5803
37,36.5935,36.5907,34.7742
38,36.4537,36.5688,35.406
39,36.4908,36.5809,35.0332
40,36.41,36.5786,35.1541
41,36.3697,36.5742,35.3739
42,36.2653,36.5889,35.4089
43,36.5164,36.577,35.6004
44,36.5443,36.589,35.3962
45,36.2764,36.5832,35.2829
46,36.4047,36.5787,35.0983
47,36.4092,36.5929,35.5464
48,36.2815,36.582,34.6452
49,36.4185,36.5913,34.9427
50,36.2449,36.5739,35.2285
51,36.1098,36.5697,35.4585
52,36.2321,36.5839,35.5331
53,36.0077,36.5757,35.4001
54,36.1967,36.5847,35.4461
55,36.3994,36.5858,34.8294
56,36.251,36.5727,34.1879
57,36.3082,36.5889,35.2927
58,36.017,36.5729,35.2648
59,36.4182,36.572,34.8933
60,36.1418,36.5802,35.1678
61,36.308,36.5798,34.9523
62,36.1834,36.5599,34.7023
63,35.8719,36.5763,34.9066
64,36.1772,36.5708,34.9703
65,36.1676,36.5627,34.9072
66,36.1368,36.5544,34.7706
67,36.2869,36.5478,34.7824
68,36.246,36.5641,35.0102
69,36.2182,36.5584,35.0472
70,36.0976,36.5652,34.9246
71,35.9862,36.5685,35.5143
72,36.1108,36.5445,35.3063
73,35.9422,36.5558,35.1648
74,36.0309,36.5401,33.9105
75,36.028,36.5595,34.3094
76,36.3172,36.5639,34.5529
77,36.2813,36.5467,34.6532
78,36.309,36.5629,34.5272
79,36.0742,36.5444,34.7239
80,36.1577,36.5292,34.8461
81,36.4373,36.5431,34.8427
82,36.1231,36.5488,34.9366
83,35.8928,36.5299,34.5311
84,36.2078,36.5264,34.3914
85,36.2194,36.5264,34.9005
86,36.3281,36.5216,34.9654
87,35.8974,36.5264,34.8526
88,36.1451,36.4946,34.8411
89,36.0591,36.5033,35.0442
90,36.0942,36.4947,34.7837
91,35.9235,36.4932,35.0245
92,36.2002,36.4757,34.8255
93,36.1327,36.4835,34.5996
94,36.0512,36.463,34.613
95,35.9479,36.4708,33.5866
96,35.9132,36.4637,34.5283
97,35.7192,36.4538,33.5444
98,35.6612,36.4652,34.0733
99,35.9857,36.4391,32.8548
100,35.74,36.4381,33.4148
101,35.6131,36.4311,33.6289
102,35.4461,36.431,33.3651
103,35.7499,36.4109,33.4847
104,35.8734,36.4082,33.5546
105,35.7611,36.4184,32.9926
106,35.7524,36.381,33.5938
107,35.3442,36.4044,34.2645
108,35.6475,36.3923,33.9309
109,35.7328,36.3888,34.2663
110,34.6405,36.3672,34.8745
111,35.3934,36.3751,34.2583
112,35.5918,36.3881,33.7958
113,35.6543,36.3723,34.1268
114,35.6165,36.3818,34.1064
115,35.287,36.3517,33.8137
116,35.83,36.3409,33.4267
117,35.5536,36.3672,33.623
118,35.4047,36.3254,33.9664
119,35.5743,36.3617,33.9181
120,35.6155,36.3115,34.2447
121,35.6603,36.325,33.6934
122,35.4278,36.323,33.758
123,35.4226,36.2853,34.3499
124,35.6951,36.3222,34.4045
125,35.6432,36.2894,34.6197
126,35.7125,36.3013,34.0155
127,35.4112,36.2795,34.3154
128,35.4226,36.2937,34.4572
129,35.4196,36.2832,34.3277
130,35.2565,36.296,34.347
131,35.1847,36.2792,33.9281
132,35.2752,36.2927,33.6823
133,35.0853,36.2687,33.6936
134,35.0664,36.2554,33.5884
135,35.205,36.283,33.1165
136,35.0138,36.2405,34.0337
137,34.8942,36.2447,34.4107
138,34.6312,36.2573,34.0106
139,34.8303,36.2305,34.1874
140,34.8713,36.2459,34.2866
141,34.4911,36.2434,34.373
142,34.5904,36.2069,33.5067
143,34.5878,36.2171,34.3783
144,33.719,36.2201,32.8165
145,34.0647,36.2414,33.0161
146,33.9912,36.2157,33.4822
147,34.3618,36.2058,34.1335
148,34.1418,36.1881,34.0408
149,34.1795,36.1912,34.101
150,32.8716,36.1374,34.2295
151,21.0474,29.3903,26.8511
