"Position (bp)","PE1.R1 - illumina_universal_adapter","PE1.R1 - polyg","PE1.R2 - illumina_universal_adapter","PE1.R2 - polyg","PE2.R1 - polya","PE2.R1 - polyg","PE2.R2 - polya","PE2.R2 - polyg","PE3.R1 - polya","PE3.R1 - polyg","PE3.R2 - polya","PE3.R2 - polyg","PE1.R1.clean - illumina_universal_adapter","PE1.R2.clean - illumina_universal_adapter","PE2.R1.clean - polya","PE2.R2.clean - polya"
1,0.003732196257540203,0,0.004665245321925253,0.018660981287701012,0.009490903877337135,0,0.008279299127038777,0.06663826126640968,0.0011239077659983162,0,0.0003746359219994387,0.05548017426700779,0,0,0.009692515481686413,0.008217567473603698
2,0.004665245321925253,0,0.005598294386310304,0.018660981287701012,0.014337322878530566,0,0.012116047502983576,0.0668401953914594,0.0011239077659983162,0,0.00047680935527201295,0.0557185789446438,0,0,0.014749480080827151,0.012220997781256782
3,0.005131769854117779,0,0.00606481891850283,0.018660981287701012,0.015548927628828924,0,0.014741191128630019,0.06704212951650912,0.0011579655770891741,0.0007833296550897355,0.0005449249774537291,0.058341030398639866,0,0,0.016013721230612336,0.01453877322252962
4,0.008863966111657982,0,0.009797015176043032,0.018660981287701012,0.021001149005171534,0.00020193412504972627,0.017568268879326186,0.06724406364155885,0.0012260811992708903,0.002418104587450923,0.0006811562218171614,0.061099713096999374,0,0,0.021492099546348134,0.01727796238039752
5,0.01726140769112344,0,0.018194456755508487,0.018660981287701012,0.025847568006364962,0.00020193412504972627,0.02503983150616606,0.0676479318916583,0.0012260811992708903,0.03433027357958493,0.0008173874661805936,0.1098023829569264,0,0,0.02654906414548887,0.024652702420811096
6,0.024725800206203845,0,0.026125373802781418,0.018660981287701012,0.026453370381514144,0.00020193412504972627,0.027866909256862228,0.06784986601670803,0.0013282546325434645,0.04212951231939143,0.0011579655770891741,0.125503033869812,0,0,0.027181184720381463,0.027602598436976523
7,0.02705842286716647,0,0.02892452099593657,0.018660981287701012,0.027261106881713047,0.00020193412504972627,0.029684316382309762,0.06906147076700639,0.0013623124436343227,0.05020121354792479,0.0013963702547251807,0.14297469095942217,0,0,0.028024012153571587,0.02928825330335677
8,0.032656717253476776,0,0.03405629085005435,0.018660981287701012,0.030895921132608122,0.00020193412504972627,0.0315017235077573,0.06966727314215557,0.0014304280658160387,0.05769393198791357,0.0016688327434520452,0.15564419668522136,0,0,0.03160602874462961,0.030973908169737017
9,0.037788487107594554,0,0.037788487107594554,0.018660981287701012,0.034934603633602644,0.00040386825009945253,0.03473266950855292,0.07047500964235447,0.0014985436879977549,0.06327941300681429,0.002077526476542342,0.16834776022211143,0,0,0.03582016591058022,0.03455592476079504
10,,,,,,,,,,,,,0,0.0005577587024301546
12,0.05635616348885706,0,0.055236504611595,0.018660981287701012,0.09050687484728732,0.0012923784003182482,0.08008707399472145,0.07205009581774234,0.00194129523217891,0.09487143857469423,0.00553098852115535,0.2213417142794866,0,0.0005577587024301546,0.09077251455457624,0.08065858535629476
14,,,,,,,,,,,,,0,0.0005577587024301546
16,,,,,,,,,,,,,0,0.0005577587024301546
17,0.14452930007324433,0,0.14135693325433518,0.018660981287701012,0.1612645922647114,0.002705917275666332,0.14123272705977857,0.07483678674342856,0.003398969546867635,0.1439487443566207,0.018302667680227126,0.2933535500499968,,,0.16228642226075815,0.14176357426257866
18,,,,,,,,,,,,,0.0005577587024301546,0.0016732761072904639
20,,,,,,,,,,,,,0.004462069619441237,0.023425865502066493
22,2.334582063997835,0,2.3091098245401236,0.018660981287701012,0.20540739200058158,0.0041598429760243616,0.17750009591870938,0.0790774033694728,0.004740847303847443,0.17660337363053544,0.03397607234424001,0.3428872305005409,0.013665088209538788,0.07195087261348995,0.20691413484817517,0.17733089194320187
24,,,,,,,,,,,,,0.027051297067862502,0.09091466849611521
26,,,,,,,,,,,,,0.04991940386749884,0.1625866617583901
27,7.147902272440996,0,7.075684274857593,0.018660981287701012,0.24030160880917428,0.006542665651611131,0.21643299522829668,0.08230834937026843,0.0060077978764273635,0.21029336036161222,0.045841813728294954,0.4025633270939424,,,0.2417650492105868,0.21576382289667148
28,,,,,,,,,,,,,0.06693104429161856,0.22226684291841664
30,,,,,,,,,,,,,0.09509785876434138,0.32796211702893097
32,16.363534576465703,0,16.18214983834925,0.018660981287701012,0.2807692074691394,0.009894772127436589,0.25467931851271475,0.08570084267110382,0.007329240946752656,0.2512104146061691,0.056971906392787375,0.4549851099249911,0.11629268945668725,0.4046539386130772,0.2825157556053292,0.2539860469918436
34,,,,,,,,,,,,,0.1572879540853036,0.5268030944452811
36,,,,,,,,,,,,,0.21585261784046986,0.5825789646882966
37,30.213061753852326,0,29.86027590260834,0.018660981287701012,0.31602690570282166,0.012964170828192425,0.28832154374599916,0.08921449644696906,0.00882778463475041,0.29867338014238887,0.0698048896118227,0.5128697656550135,,,0.3169452562511457,0.2863506204263443
38,,,,,,,,,,,,,0.25907891727880683,0.6110246585122344
40,,,,,,,,,,,,,0.2825047827808733,0.6517410437896358
42,45.4574972824946,0,44.83020839650853,0.019127505819893538,0.34381304130966395,0.0182952317295052,0.31501723507757295,0.09353588672303322,0.010700964244747604,0.33540132362277025,0.07907542579075426,0.5866662307266848,0.33242418664837214,0.7178354500276091,0.34332575490999656,0.3113825951920909
44,,,,,,,,,,,,,0.3683996229551172,0.7473966612564072
46,,,,,,,,,,,,,0.4158091126616803,0.7730535615681944
47,62.045336854038474,0,60.970277722054014,0.019127505819893538,0.3712760823164267,0.021324243605251092,0.3398955192836993,0.0987861739743261,0.012540086043653939,0.3876936867716737,0.08733103919917826,0.7046969808431623,,,0.3708019292319945,0.33493962194975485
48,,,,,,,,,,,,,0.48803886462638535,0.7833720975631522
50,,,,,,,,,,,,,0.49138541684096626,0.790065201992314
52,70.3913674300563,0,69.04796338715471,0.019127505819893538,0.3962755269975829,0.025524473406285404,0.3646122561897858,0.10399607440060903,0.014753843764559715,0.4468657277609305,0.09695577661345474,0.7889968748552543,0.49501084840676224,0.79313287485568,0.3948646524495726,0.3574852557875906
54,,,,,,,,,,,,,0.4969630038652678,0.7936906335581101
56,,,,,,,,,,,,,0.4969630038652678,0.7948061509629704
57,71.98454870749379,0,70.62043097536284,0.019127505819893538,0.4156612030023566,0.02944199543225009,0.38767313327046454,0.11013487180212071,0.016981224609901834,0.5212343640589282,0.10647834059445867,0.8948689864122956,,,0.41260616991822474,0.3791880621922363
58,,,,,,,,,,,,,0.49752076256769795,0.7975949444751211
60,,,,,,,,,,,,,0.49752076256769795,0.800941496689702
62,73.14684792699823,0,71.78543603715401,0.019407420539209054,0.4386009196080055,0.032349846832966156,0.4080684799004869,0.11469858302824454,0.019399329197352756,0.6056159968176381,0.1157080074000812,0.998997338041485,0.49919403867498846,0.800941496689702,0.4344775418095084,0.3984888104122901
64,,,,,,,,,,,,,0.5025405908895694,0.8020570140945624
66,,,,,,,,,,,,,0.5033772289432146,0.8023358934457775
67,74.56079047916735,0.00009330490643850507,73.17950464425171,0.01987394507140158,0.45915781353806767,0.03505576410863248,0.42834266605547944,0.11829301045412965,0.022730183122038672,0.684241859501993,0.12309174084457922,1.1261828277791854,,,0.4536518659145837,0.41711529668579184
