"Position (bp)","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
1,33.233318249040124,34.593983699632844,34.73220304072405,35.030853514966346,31.37258598234988,31.103973388588727,33.63998349034241,35.434315546408314,35.11486895086948,35.49838493193115,31.480530349231074,31.37979301831755
2,28.961558378547338,34.73509804013044,35.66794558279198,35.48213993630998,31.696253368317517,31.051124861384707,29.627378143667485,35.574112187585406,36.0281693998858,35.929942076684654,31.771947626360223,31.38126253682981
3,30.621415342125765,35.21844544695383,35.96678385577057,35.79438663519187,31.357803530024004,31.154263152445488,31.343746688307704,36.07449982988359,36.308127174231394,36.241042324686624,31.472395462126833,31.487362875553824
4,33.543407775097855,35.89786378416709,36.03628554293019,35.894832707674105,31.659061557450077,31.235564937347252,34.36718928657084,36.51857615358443,36.35873053332013,36.34018411565278,31.76715442435286,31.574041690240193
5,34.338374908444564,35.49055987609108,36.18683551051976,35.992613249705684,31.627659574468087,31.198277764608758,34.87769467173111,36.30586929482567,36.45575682742898,36.38941366602541,31.717918206599606,31.546005848683677
6,35.226721592154924,35.553419391558705,36.37068037664753,36.14564700703337,34.82003512041479,34.73904666737507,35.695725895063276,36.32807924635644,36.59897006487664,36.50764549835333,34.994744634420535,35.21833518247746
7,35.32880649028929,35.62796068131243,36.35978401125985,36.115865762271035,34.56097982960196,34.73068819937715,35.71880595016984,36.37855640892637,36.589151125279976,36.489196005840796,34.809066561841014,35.234144630011976
8,35.363823821675666,35.51971765935312,36.38147173629019,36.150315724004514,35.012099718546246,34.621842840911874,35.77805107954197,36.28932617171159,36.606188881841916,36.5171905190342,35.26079949154659,35.16516763532429
9,35.62455505222742,35.68549248662241,36.406923513411456,36.2095470415641,35.00716371998485,34.700900216062756,36.05367311993486,36.38127827139423,36.621258636347356,36.568843198277264,35.30110764957862,35.27296012461517
12,35.72690120409982,35.70141963415146,36.34757426632284,36.16258362596954,35.052334594834655,34.47153087136228,36.094779936303965,36.39103012454753,36.572299633580776,36.53021051722213,35.291947552884295,35.13177062285543
