"% GC","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
0,0,0.02425678606914117,0.00582256462136954,0.0074639772075622834,0.005121146143544175,0.004255845263679126,0.0004484938455432046,0.001329741553647869,0.005297834190577711,0.00953287131882778,0.00019736442368108054,0.00021556242121867136
1,0,0.01469401463803744,0.004275945893818255,0.006280663747826799,0.00263816619515912,0.0022832454516818665,0.0004484938455432046,0.001329741553647869,0.007398699473048181,0.010791929794899374,0.0002114618825154434,0.00018861711856633744
2,0,0.003731813241406334,0.0045488786104449525,0.007372953095274939,0.0001551862467740659,0.0002951133577003773,0.0005606173069290057,0.0024378595150210927,0.011600430037989124,0.014659037971404982,0.00026785171785289496,0.00021556242121867136
3,0.000699786798288788,0.0025656216034668543,0.007187228204503025,0.010012652351607941,0.0001551862467740659,0.00037277476762152925,0.0013454815366296137,0.0044324718454928965,0.014523373039687171,0.01924560813423722,0.0004229237650308868,0.00035028893448034096
4,0.0009330490643850507,0.0020991449482910627,0.0098255777985611,0.011013917586768736,0.00029485386887072524,0.00046596845952691157,0.0020182223049444205,0.005208154418454153,0.019181813448643434,0.0223932543244162,0.0004934110592027012,0.0005119607503943444
5,0.00023326226609626268,0.0023323832758789585,0.011372196526112382,0.014654882078262531,0.0004034842416125714,0.0006368235613534458,0.0019060988435586192,0.005208154418454153,0.021648046606326164,0.026979824487248436,0.0005779958122088787,0.0007005778689606819
6,0,0.00279885993105475,0.014101523692379355,0.02057144937693995,0.00038796561693516473,0.0007144849712745977,0.0021303457663302216,0.005429778010728799,0.024205621732811954,0.03381471335735137,0.0007753602358899592,0.0008353043822223516
7,0.00046652453219252535,0.0025656216034668543,0.019833110741539994,0.024121389756146402,0.00029485386887072524,0.0008232109451642105,0.002803086534645028,0.005429778010728799,0.034435922238755114,0.03885094726163774,0.0009586272007366767,0.001010448849462522
8,0.00046652453219252535,0.0030320982586426464,0.022653415480015867,0.025486751440456576,0.00029485386887072524,0.0011493888668330486,0.004036444609888841,0.008421696506436503,0.03891167871010525,0.042987853683015845,0.001184186542086483,0.0012933745273120282
9,0.00023326226609626268,0.003498574913818438,0.024472966924193845,0.029309764156525062,0.0004500401156447911,0.0015221636344545778,0.006391037298990665,0.016732581216735685,0.03945973052292363,0.047484491097557244,0.0014238433422706523,0.00168408141577087
10,0.000699786798288788,0.0030320982586426464,0.028657935245803203,0.0332238009848809,0.0005741891130640438,0.0019415352480287981,0.008633506526706688,0.02338128898497503,0.045670984401531986,0.05333011973646108,0.0017903772719640876,0.002142151560860547
11,0.0011663113304813133,0.003731813241406334,0.033479746572874856,0.03750193426238611,0.0007759312338703295,0.0021900517597764845,0.010091111524722102,0.025708336703858803,0.052886999936974044,0.05800662264758414,0.002269690872332426,0.002694530265233392
