"Sequence Duplication Level","PE1.R1","PE1.R2","PE2.R1","PE2.R2","PE3.R1","PE3.R2","PE1.R1.clean","PE1.R2.clean","PE2.R1.clean","PE2.R2.clean","PE3.R1.clean","PE3.R2.clean"
1,10.506132464975671,11.86558495178469,14.956006472167607,16.244081306335232,29.614566399140664,32.81245851609459,7.912922711376605,7.886708052362387,14.566841183449228,15.023741046289993,29.70116090545256,30.47867719436372
2,3.5418542484056523,3.353378337399872,10.490699401120134,10.317431855958306,5.030469540879473,4.9030182408894305,3.332050488317744,3.241693578524059,10.666939639837846,10.600780818481196,5.465506614809603,5.664978199717347
3,1.984595359947003,1.7564648637048579,7.434243107510946,7.320364489584059,2.293347973775802,2.2324342260030208,1.894148553452805,1.864029583521577,7.566500371710491,7.509234781857506,2.603045488534108,2.678765413103799
4,1.4089040872214265,1.2278925687307267,5.322130225223807,5.164194101853086,1.7090670220462272,1.6874704692901283,1.4211691737920342,1.3252346769740475,5.322497469141294,5.276071631655837,1.909949282071583,1.9769741384374335
5,1.094000027991472,0.893394479148686,3.951973341082156,3.8335620360349383,1.4162854175941577,1.3731949194649111,1.0290648059836354,1.0374311865200876,3.9732424087961022,3.887249614975208,1.5835701001065585,1.527255096770418
6,0.8341458635602353,0.7613680365382014,3.084746357892157,3.0739980395568685,1.240809614421142,1.2353532416644812,0.8299449492160702,0.8065190837140036,3.17621251663026,3.180705682497684,1.3307380112976976,1.349696718670224
7,0.728244794752532,0.6596656885202309,2.7531478535001384,2.6477988913211146,1.1376189180400593,1.0689670749312405,0.8901828890785269,0.8784699563274936,2.8094816056250185,2.764453997412474,1.2607486577773952,1.2313594442421636
8,0.5934192049488922,0.6046157937215129,2.4170677981881665,2.4173919086490048,1.0507235083970345,1.0274668538921048,0.6157656074828908,0.6559242340578619,2.4620282619587104,2.386364964280712,1.0975048365129663,1.1446616915971501
9,0.6046157937215129,0.5038464947679274,2.1808521816520527,2.103028843375809,0.9305321765972787,0.9078801814764605,0.512022488830882,0.5521811154058531,2.1906330257708473,2.282171646770382,0.9827091751094993,1.03605051947253
">10",9.545091928659069,8.60131280003359,34.226142685783024,33.959172831883826,19.676567170223823,19.31613596377239,11.450786160891075,11.311346485283536,34.4361131034095,34.37828856167026,20.072038913606487,20.119806929556272
">50",8.05641214643272,7.360357544401472,9.199949712591406,8.999007303503019,10.577517133157723,10.146311353024918,7.160506221798325,6.78346133895554,9.079050103562635,8.90152189615653,10.655985311769133,10.286348173684784
">100",20.069418850390246,19.76897705165826,3.983040863288396,3.91996839194474,20.87226246202262,19.524364167625926,15.123627216393643,15.495094512212127,3.7504603101080614,3.809415357952221,19.61943714575737,19.053754496191047
">500",9.119621555299485,9.093962706028897,0,0,3.6048834643684704,3.043056579069956,10.246585122344372,10.441242909492496,0,0,3.055715024887074,2.8313990096118213
">1k",17.149908327929424,20.96981119752182,0,0,0.8453491993355773,0.721888212800444,23.29367668959055,23.32714221173636,0,0,0.6618905323079416,0.6202729745812796
">5k",5.026801834374461,2.5864120064753604,0,0,0,0,8.245346898024977,8.370284847369332,0,0,0,0
">10k+",9.736833511390195,9.992955479563893,0,0,0,0,6.042200023425866,6.02323622754324,0,0,0,0
