Sheet 1: consensus_report_t
X1	X2	X3	X4
query_name	Consensus-Illumina-PE1 | 200408,A,20-04246,CleanPlex SARS-CoV-2,IQ	Consensus-Illumina-PE2 | 200422,A,20-04444,Nextera Flex,IQ	Consensus-Illumina-PE3 | 200423,A,20-04411,Nextera_XT,NX
reference_name	NC_045512.2	NC_045512.2	NC_045512.2
file_in_query	consensus-seqs.fasta	consensus-seqs.fasta	consensus-seqs.fasta
file_in_ref	reference.fasta	reference.fasta	reference.fasta
ACGT Nucleotide identity	0.9997	0.9994	0.9994
ACGT Nucleotide identity (ignoring Ns)	0.9997	0.9994	0.9994
ACGT Nucleotide identity (ignoring non-ACGTNs)	0.9998	0.9998	0.9998
qc_all_valid	TRUE	TRUE	TRUE
qc_is_empty_query	FALSE	FALSE	FALSE
qc_post_align_pass_threshold	TRUE	TRUE	TRUE
qc_post_aligned	TRUE	TRUE	TRUE
qc_post_aligned_all_valid	TRUE	TRUE	TRUE
qc_valid_length	TRUE	TRUE	TRUE
qc_valid_nucleotides	TRUE	TRUE	TRUE
qc_valid_pass_nthreshold	TRUE	TRUE	TRUE
acgt_bases	29898	29891	29891
iupac_bases	5	12	12
non_iupac_bases	0	0	0
N_bases	0	0	0
length_query	29903	29903	29903
length_reference	29903	29903	29903
LongestNGap	0	0	0
Matches	29893	29885	29885
Mismatches	5	6	6
query_description	NA	NA	NA
query_index	0	1	2
Date	2023-09-27	2023-09-27	2023-09-27
PSL_BlockCount	1	1	1
PSL_BlockSizes	29903	29903	29903
PSL_Matches	29893	29885	29885
PSL_Mismatches	5	6	6
PSL_Ns	5	12	12
PSL_QEnd	29903	29903	29903
PSL_QGapBases	0	0	0
PSL_QGapCount	0	0	0
PSL_QName	Consensus-Illumina-PE1%space%|%space%200408,A,20-04246,CleanPlex%space%SARS-CoV-2,IQ	Consensus-Illumina-PE2%space%|%space%200422,A,20-04444,Nextera%space%Flex,IQ	Consensus-Illumina-PE3%space%|%space%200423,A,20-04411,Nextera_XT,NX
PSL_QSize	29903	29903	29903
PSL_QStart	0	0	0
PSL_QStarts	0	0	0
PSL_RepMatch	0	0	0
PSL_Strand	+	+	+
PSL_TEnd	29903	29903	29903
PSL_TGapBases	0	0	0
PSL_TGapCount	0	0	0
PSL_TName	NC_045512.2	NC_045512.2	NC_045512.2
PSL_TSize	29903	29903	29903
PSL_TStart	0	0	0
PSL_TStarts	0	0	0
PSL_index	0	1	2

Sheet 2: Table 1
query_name	Consensus-Illumina-PE1	Consensus-Illumina-PE2	Consensus-Illumina-PE3
ACGT Nucleotide identity	0.9997	0.9994	0.9994
ACGT Nucleotide identity (ignoring Ns)	0.9997	0.9994	0.9994
ACGT Nucleotide identity (ignoring non-ACGTNs)	0.9998	0.9998	0.9998
qc_all_valid	TRUE	TRUE	TRUE
qc_post_align_pass_threshold	TRUE	TRUE	TRUE
qc_post_aligned	TRUE	TRUE	TRUE
qc_post_aligned_all_valid	TRUE	TRUE	TRUE
qc_valid_length	TRUE	TRUE	TRUE
qc_valid_nucleotides	TRUE	TRUE	TRUE
qc_valid_pass_nthreshold	TRUE	TRUE	TRUE
acgt_bases	29898	29891	29891
iupac_bases	5	12	12
non_iupac_bases	0	0	0
N_bases	0	0	0
length_query	29903	29903	29903
length_reference	29903	29903	29903
LongestNGap	0	0	0
Matches	29893	29885	29885
Mismatches	5	6	6
PSL_Mismatches	5	6	6
PSL_Ns	5	12	12
